university_id,university_name,location,ranking,specialization,image_path
1,National Law School Delhi,Delhi,32,Management,images/university1.jpeg
2,National Institute of Technology Bangalore,Bangalore,87,Medical,images/university1.jpeg
3,Xavier Institute of Management Lucknow,Lucknow,5,Management,images/university1.jpeg
4,All India Institute of Medical Sciences Mumbai,Mumbai,30,Engineering,images/university1.jpeg
5,All India Institute of Medical Sciences Pune,Pune,92,Engineering,images/university1.jpeg
6,University of Chennai,Chennai,76,Sports,images/university1.jpeg
7,Indian Institute of Management Delhi,Delhi,90,Law,images/university1.jpeg
8,National Law School Kolkata,Kolkata,20,Sports,images/university1.jpeg
9,National Institute of Technology Kolkata,Kolkata,12,Medical,images/university1.jpeg
10,National Institute of Fashion Technology Mumbai,Mumbai,45,Sports,images/university1.jpeg
11,University of Delhi,Delhi,69,Law,images/university1.jpeg
12,National Institute of Technology Bhopal,Bhopal,71,Management,images/university1.jpeg
13,National Institute of Fashion Technology Lucknow,Lucknow,74,Law,images/university1.jpeg
14,Indian Institute of Technology Mumbai,Mumbai,85,Medical,images/university1.jpeg
15,National Institute of Technology Hyderabad,Hyderabad,30,Medical,images/university1.jpeg
16,National Law School Bhopal,Bhopal,59,Management,images/university1.jpeg
17,National Institute of Fashion Technology Bangalore,Bangalore,46,Fashion,images/university1.jpeg
18,National Institute of Technology Hyderabad,Hyderabad,78,Medical,images/university1.jpeg
19,All India Institute of Medical Sciences Pune,Pune,21,Design,images/university1.jpeg
20,National Law School Bhopal,Bhopal,82,Science,images/university1.jpeg
21,Indian Institute of Technology Kolkata,Kolkata,30,Medical,images/university1.jpeg
22,Xavier Institute of Management Kolkata,Kolkata,35,Engineering,images/university1.jpeg
23,National Institute of Fashion Technology Chennai,Chennai,28,Management,images/university1.jpeg
24,University of Bhopal,Bhopal,19,Science,images/university1.jpeg
25,All India Institute of Medical Sciences Bangalore,Bangalore,96,Law,images/university1.jpeg
26,Xavier Institute of Management Lucknow,Lucknow,75,Law,images/university1.jpeg
27,All India Institute of Medical Sciences Kolkata,Kolkata,18,Sports,images/university1.jpeg
28,Indian Institute of Technology Mumbai,Mumbai,15,Science,images/university1.jpeg
29,Xavier Institute of Management Bangalore,Bangalore,77,Design,images/university1.jpeg
30,Xavier Institute of Management Bhopal,Bhopal,77,Management,images/university1.jpeg
31,National Law School Pune,Pune,71,Science,images/university1.jpeg
32,National Law School Mumbai,Mumbai,99,Engineering,images/university1.jpeg
33,National Law School Mumbai,Mumbai,56,Fashion,images/university1.jpeg
34,Indian Institute of Technology Jaipur,Jaipur,93,Design,images/university1.jpeg
